student_id,cluster_id
334,0
396,1
373,2
377,2
358,3
365,3
136,4
137,4
138,4
139,4
140,4
357,5
389,6
350,7
329,8
330,8
71,9
72,9
73,9
74,9
75,9
375,10
101,11
102,11
103,11
104,11
105,11
336,11
211,12
212,12
213,12
214,12
215,12
181,13
182,13
183,13
184,13
185,13
356,14
66,15
67,15
68,15
69,15
70,15
391,16
344,17
341,18
315,19
316,19
317,19
318,19
387,19
394,20
121,21
122,21
123,21
124,21
125,21
399,21
386,22
390,23
271,24
273,24
263,25
264,25
265,25
266,25
372,26
201,27
202,27
203,27
204,27
205,27
340,27
126,28
127,28
128,28
129,28
130,28
362,28
116,29
117,29
118,29
119,29
120,29
246,30
247,30
248,30
249,30
250,30
288,31
290,31
352,32
186,33
187,33
188,33
189,33
190,33
331,34
146,35
147,35
148,35
149,35
150,35
161,35
162,35
163,35
164,35
165,35
370,36
267,37
269,37
270,37
384,37
361,38
31,39
32,39
33,39
34,39
35,39
376,40
61,41
62,41
63,41
64,41
65,41
348,42
359,43
275,44
276,44
277,44
278,44
216,45
217,45
218,45
219,45
220,45
332,46
241,47
242,47
243,47
244,47
245,47
106,48
107,48
108,48
109,48
110,48
338,49
279,50
280,50
91,51
92,51
93,51
94,51
95,51
311,52
312,52
313,52
314,52
381,52
131,53
132,53
133,53
134,53
135,53
304,53
305,53
393,54
342,55
21,56
22,56
23,56
24,56
25,56
141,57
142,57
143,57
144,57
145,57
324,58
326,58
96,59
97,59
98,59
99,59
100,59
383,59
349,60
285,61
286,61
231,62
233,62
234,62
355,63
307,64
310,64
346,65
156,66
157,66
158,66
159,66
160,66
371,67
221,68
222,68
223,68
224,68
225,68
382,68
151,69
152,69
154,69
335,70
366,70
196,71
197,71
198,71
199,71
200,71
379,71
319,72
320,72
321,72
322,72
360,72
299,73
300,73
301,73
302,73
6,74
7,74
8,74
9,74
10,74
259,75
260,75
261,75
262,75
351,76
191,77
192,77
193,77
194,77
195,77
333,78
395,79
206,80
207,80
208,80
209,80
210,80
347,81
398,82
16,83
17,83
18,83
19,83
20,83
29,84
367,85
363,86
226,87
227,87
228,87
229,87
230,87
368,88
296,89
298,89
353,89
354,90
343,91
171,92
172,92
173,92
174,92
175,92
339,93
385,94
369,95
400,96
166,97
167,97
168,97
169,97
170,97
1,98
2,98
3,98
4,98
5,98
46,99
47,99
48,99
49,99
50,99
337,100
364,101
303,102
306,102
81,103
82,103
83,103
84,103
85,103
283,104
284,104
291,105
292,105
293,105
294,105
86,106
87,106
88,106
89,106
90,106
252,107
323,107
325,107
272,108
274,108
388,109
236,110
237,110
238,110
239,110
240,110
36,111
37,111
38,111
39,111
40,111
287,112
289,112
111,113
112,113
113,113
114,113
115,113
308,114
309,114
345,115
392,116
176,117
177,117
178,117
179,117
180,117
268,118
255,119
257,119
60,120
397,121
251,122
253,122
254,122
327,123
328,123
232,124
235,124
51,125
52,125
53,125
54,125
55,125
11,126
12,126
13,126
14,126
15,126
41,127
42,127
43,127
44,127
45,127
256,128
258,128
380,129
374,130
26,131
27,131
28,131
30,131
281,132
282,132
153,133
155,133
76,134
77,134
78,134
79,134
80,134
295,135
297,135
56,136
57,136
58,136
59,136
378,137
